파일명	전체 pptx
패스트캠퍼스_교육제안서_S-OIL_임원진 대상 생성형 AI 기본_250617.txt	https://drive.google.com/file/d/1ENc1Rd46tqGQiBlpIX2ogf7GA3g2yz3q/view
패스트캠퍼스_교육제안서_SK텔링크_2025년 생성형AI 활용 과정_250617.txt	https://drive.google.com/file/d/1pkd990hJQB29YbZ369fXc4L5ErGCjAmw/view
패스트캠퍼스_교육제안서_기아_R&D 및 연구직 대상 생성형 AI 업무 활용_250617.txt	https://drive.google.com/file/d/174zoj5br6wYf9kNRbgdtFPQz6AF34V8e/view
패스트캠퍼스_교육제안서_롯데중앙연구소_실무자 대상 생성형 AI 실습과정_240812.txt	https://drive.google.com/file/d/15XZcKzkVr_UPJxoPhVHXHfjNKZryyS9R/view
패스트캠퍼스_교육제안서_코콤_생성형 AI 교육_250514.txt	https://drive.google.com/file/d/1d054OsjXVog1KjxdFMMraJU-D64hsJsI/view
패스트캠퍼스_교육제안서_KT_25년도 KT AI Academy 프로그램_250407.txt	https://drive.google.com/file/d/1CjxF629PrzH0N9Vxx77EAMcMNy_pmzuk/view
패스트캠퍼스_교육제안서_롯데인재개발원_2025년 직무XAI 과정_250219.txt	https://drive.google.com/file/d/1ygOZ8bix2ivEjVecSf7NWsEb1haTzNsi/view
패스트캠퍼스_제안서_AK홀딩스_생성형 AI 과정_vf.txt	https://drive.google.com/file/d/1opM2rN40YCZukHYVT4cfB0LXW1UUNI9I/view
패스트캠퍼스_교육제안서_삼양식품 연구소_프롬프트 엔지니어링 역량강화 교육_250210.txt	https://drive.google.com/file/d/1XE26Kc6jwmPse1cGXkSuc_hf7agjYvMQ/view
SKI_2025 AI Mini Camp Program Book 4개 과정 전사대상 및 SKI대상_250225.txt	https://drive.google.com/file/d/1CnUcxNBCxJjxE5FPw-3UNFrJtHkfPOVO/view
패스트캠퍼스_교육제안서_파라다이스_생성형AI_2506.txt	https://drive.google.com/file/d/1UGwbTUrYYB2qjpSNS05Uw0ptRz2Ls5ir/view
패스트캠퍼스_교육제안서_LF_생성형 AI 활용 과정_240618.txt	https://drive.google.com/file/d/1m39Fj8H9DIXRPVO5byCXODNV9xKvMBtW/view
패스트캠퍼스_교육제안서_오리온_생성형 AI_240814.txt	https://drive.google.com/file/d/15KULtTl4hRRh0gL3ctoPLHtJ2_jRcvjP/view
패스트캠퍼스_동아일보사_AI 현업적용 교육 레퍼런스_240813(최종).txt	https://drive.google.com/file/d/1_r2fPVriKGbopVOrhJLUZ6Yz5vbZsUW7/view
패스트캠퍼스_교육제안서_웰컴금융그룹_업무효율화를 위한 생성형AI 활용_240913.txt	https://drive.google.com/file/d/1nSqxqSZGRpp3VMZWpiMDAPBdO6qh0x8H/view
패스트캠퍼스_교육제안서_농협경제지주_데이터, 생성형 AI 교육_250109.txt	https://drive.google.com/file/d/1MIL9H89nCpLasvRYcOkEo1RhABgTf9uy/view
패스트캠퍼스_교육제안서_TCC스틸_AI 활용 과정 및 보고서 작성 과정 교육제안서(250515).txt	https://drive.google.com/file/d/1l8okRZnoGdv7krMtbwNdKiwOoVJqKBaY/view
